ringmember_age_blocks,freq
2,559
3,6635
4,5674
5,4844
6,4141
7,3715
8,3141
9,2729
10,6600
11,60101
12,45842
13,33189
14,26102
15,21743
16,18596
17,16397
18,14923
19,13500
20,12112
21,11688
22,11617
23,10869
24,10390
25,9879
26,9434
27,8821
28,8287
29,8156
30,7679
31,7378
32,7192
33,6721
34,6671
35,6704
36,6536
37,6021
38,6019
39,5871
40,5823
41,5741
42,5613
43,5324
44,5455
45,5415
46,5367
47,5311
48,5286
49,5489
50,5307
51,5234
52,5196
53,5215
54,4989
55,5213
56,5144
57,5087
58,5010
59,5045
60,5172
61,9777
62,8870
63,8154
64,7485
65,6809
66,6353
67,6042
68,5550
69,5593
70,5240
71,5364
72,5227
73,5052
74,4764
75,4804
76,4446
77,4499
78,4264
79,4221
80,4196
81,4103
82,4019
83,3757
84,4027
85,3973
86,3800
87,3866
88,3738
89,3701
90,3624
91,3594
92,3775
93,3618
94,3550
95,3649
96,3565
97,3439
98,3561
99,3585
100,3627
101,3542
102,3511
103,3572
104,3534
105,3463
106,3419
107,3371
108,3437
109,3390
110,3369
111,3309
112,3504
113,3403
114,3387
115,3397
116,3234
117,3306
118,3318
119,3261
120,3316
121,3461
122,3406
123,3197
124,3349
125,3188
126,3243
127,3171
128,3125
129,3137
130,3116
131,3174
132,3136
133,2920
134,2927
135,2949
136,3011
137,2924
138,2791
139,2876
140,2741
141,2794
142,2836
143,2770
144,2697
145,2776
146,2788
147,2820
148,2629
149,2664
150,2607
151,2632
152,2679
153,2611
154,2677
155,2590
156,2596
157,2538
158,2653
159,2619
160,2594
161,2639
162,2487
163,2565
164,2398
165,2422
166,2424
167,2502
168,2407
169,2473
170,2450
171,2319
172,2311
173,2288
174,2230
175,2410
176,2367
177,2371
178,2274
179,2367
180,2293
181,2356
182,2403
183,2294
184,2350
185,2323
186,2210
187,2268
188,2300
189,2305
190,2231
191,2301
192,2182
193,2187
194,2188
195,2233
196,2232
197,2197
198,2169
199,2217
200,2168
201,2193
202,2206
203,2142
204,2181
205,2075
206,2143
207,2137
208,2104
209,2076
210,2127
211,2132
212,2039
213,2113
214,2148
215,2132
216,2062
217,2215
218,2192
219,2036
220,2104
221,2038
222,2020
223,2019
224,2008
225,1959
226,2029
227,2088
228,1997
229,2018
230,2028
231,2054
232,2025
233,1971
234,2016
235,1958
236,1962
237,2061
238,1969
239,1939
240,1991
241,2031
242,1954
243,2046
244,2072
245,2003
246,1925
247,1869
248,2075
249,2108
250,2064
251,2046
252,1999
253,2120
254,1946
255,2118
256,1922
257,1880
258,1957
259,1907
260,1947
261,1821
262,1877
263,1871
264,1862
265,1843
266,1867
267,1781
268,1855
269,1814
270,1919
271,1869
272,1810
273,1855
