ringmember_age_blocks,freq
11,60101
12,45842
13,33189
14,26102
15,21743
16,18596
17,16397
18,14923
19,13500
20,12112
21,11688
22,11617
23,10869
24,10390
25,9879
61,9777
26,9434
62,8870
27,8821
28,8287
29,8156
63,8154
30,7679
64,7485
31,7378
32,7192
65,6809
33,6721
35,6704
34,6671
3,6635
10,6600
36,6536
66,6353
67,6042
37,6021
38,6019
39,5871
40,5823
41,5741
4,5674
42,5613
69,5593
68,5550
49,5489
44,5455
45,5415
46,5367
71,5364
43,5324
47,5311
50,5307
48,5286
70,5240
51,5234
72,5227
53,5215
55,5213
52,5196
60,5172
56,5144
57,5087
73,5052
59,5045
58,5010
54,4989
5,4844
75,4804
74,4764
77,4499
76,4446
78,4264
79,4221
80,4196
6,4141
81,4103
84,4027
82,4019
85,3973
87,3866
86,3800
92,3775
83,3757
88,3738
7,3715
89,3701
95,3649
100,3627
90,3624
93,3618
91,3594
99,3585
103,3572
96,3565
98,3561
94,3550
101,3542
104,3534
102,3511
112,3504
105,3463
121,3461
97,3439
108,3437
106,3419
122,3406
113,3403
115,3397
109,3390
114,3387
107,3371
110,3369
124,3349
118,3318
120,3316
111,3309
117,3306
119,3261
126,3243
116,3234
123,3197
125,3188
131,3174
127,3171
8,3141
129,3137
132,3136
128,3125
130,3116
136,3011
135,2949
134,2927
137,2924
133,2920
139,2876
142,2836
147,2820
141,2794
138,2791
146,2788
145,2776
143,2770
140,2741
9,2729
144,2697
152,2679
154,2677
149,2664
158,2653
161,2639
151,2632
148,2629
159,2619
153,2611
150,2607
156,2596
160,2594
155,2590
163,2565
157,2538
167,2502
162,2487
169,2473
170,2450
166,2424
165,2422
175,2410
168,2407
182,2403
164,2398
177,2371
176,2367
179,2367
181,2356
184,2350
185,2323
171,2319
172,2311
189,2305
191,2301
188,2300
183,2294
180,2293
173,2288
178,2274
187,2268
195,2233
196,2232
190,2231
174,2230
199,2217
217,2215
186,2210
202,2206
197,2197
201,2193
218,2192
194,2188
193,2187
192,2182
204,2181
198,2169
200,2168
214,2148
206,2143
203,2142
207,2137
211,2132
215,2132
210,2127
253,2120
255,2118
213,2113
249,2108
208,2104
220,2104
227,2088
209,2076
205,2075
248,2075
244,2072
250,2064
216,2062
237,2061
231,2054
243,2046
251,2046
212,2039
221,2038
219,2036
241,2031
226,2029
230,2028
232,2025
222,2020
223,2019
229,2018
234,2016
224,2008
245,2003
252,1999
228,1997
240,1991
233,1971
238,1969
236,1962
225,1959
235,1958
258,1957
242,1954
260,1947
254,1946
239,1939
246,1925
256,1922
270,1919
259,1907
279,1887
257,1880
262,1877
263,1871
247,1869
271,1869
266,1867
277,1864
264,1862
309,1860
268,1855
273,1855
265,1843
280,1840
261,1821
296,1814
269,1814
272,1810
292,1804
287,1799
288,1795
267,1781
276,1768
274,1767
311,1762
275,1752
297,1752
282,1750
338,1749
306,1748
284,1742
281,1741
286,1735
310,1735
308,1734
314,1734
312,1731
323,1729
342,1729
307,1728
291,1724
302,1722
313,1720
290,1720
319,1714
278,1713
303,1710
283,1704
293,1699
289,1697
285,1696
336,1692
324,1691
298,1681
325,1681
340,1678
346,1677
352,1674
343,1674
304,1674
305,1674
317,1672
315,1670
347,1669
320,1664
326,1664
295,1664
299,1663
345,1662
328,1660
341,1658
643,1657
349,1657
329,1652
300,1649
334,1649
353,1645
333,1645
335,1645
339,1644
344,1644
294,1640
337,1639
318,1636
301,1630
358,1624
348,1623
321,1621
385,1619
370,1617
372,1610
357,1609
350,1607
364,1606
322,1604
363,1603
360,1601
374,1600
362,1599
423,1596
331,1595
392,1594
380,1591
367,1590
316,1589
375,1589
376,1589
359,1586
