ringmember_age_blocks,freq
10,59
11,285
12,390
13,409
14,431
15,418
16,431
17,496
18,369
19,404
20,393
21,377
22,387
23,382
24,438
25,372
26,387
27,439
28,395
29,423
30,354
31,427
32,414
33,313
34,349
35,343
36,380
37,337
38,400
39,333
40,353
41,360
42,326
43,323
44,297
45,322
46,375
47,339
48,319
49,365
50,285
51,292
52,318
53,349
54,378
55,329
56,295
57,343
58,337
59,301
60,298
61,307
62,291
63,351
64,294
65,307
66,295
67,276
68,289
69,341
70,288
71,303
72,323
73,301
74,292
75,289
76,297
77,287
78,256
79,241
80,261
81,230
82,245
83,197
84,284
85,262
86,251
87,213
88,250
89,263
90,236
91,248
92,239
93,251
94,245
95,225
96,234
97,259
98,281
99,229
100,233
101,254
102,221
103,244
104,245
105,202
106,220
107,236
108,210
109,268
110,222
111,225
112,185
113,204
114,222
115,269
116,222
117,262
118,252
119,233
120,228
121,216
122,236
123,244
124,237
125,186
126,221
127,211
128,245
129,214
130,212
131,227
132,205
133,200
134,206
135,180
136,203
137,183
138,186
139,180
140,211
141,160
142,192
143,201
144,170
145,202
146,177
147,182
148,191
149,193
150,181
151,178
152,182
153,183
154,176
155,185
156,156
157,161
158,168
159,185
160,175
161,154
162,187
163,143
164,162
165,158
166,146
167,146
168,150
169,150
170,141
171,161
172,161
173,139
174,211
175,218
176,246
177,252
178,291
179,323
180,280
181,292
182,350
183,328
184,282
185,233
186,219
187,187
188,172
189,162
190,146
191,133
192,138
193,111
194,154
195,119
196,137
197,133
198,129
199,98
200,125
201,116
202,113
203,109
204,127
205,114
206,117
207,126
208,114
209,115
210,135
211,134
212,108
213,141
214,115
215,116
216,116
217,119
218,122
219,103
220,108
221,111
222,111
223,96
224,156
225,125
226,114
227,118
228,125
229,119
230,124
231,124
232,115
233,106
234,118
235,103
236,120
237,89
238,115
239,119
240,118
241,96
242,112
243,109
244,79
245,110
246,118
247,111
248,146
249,107
250,109
251,95
252,105
253,116
254,106
255,121
256,124
257,107
258,101
259,111
260,121
261,108
262,122
263,114
264,96
265,122
266,104
267,118
268,117
269,126
270,114
271,121
272,79
273,119
274,86
275,115
276,105
277,123
278,113
279,132
280,122
281,104
282,122
283,124
284,117
285,105
286,88
287,89
288,95
289,120
290,102
291,137
292,101
293,101
294,98
295,112
296,102
297,106
298,130
299,118
300,109
301,133
302,154
303,114
304,107
305,122
306,102
307,114
308,114
309,133
310,116
311,116
312,106
313,116
314,120
315,125
316,104
317,97
318,88
319,120
320,103
321,100
322,105
323,115
324,102
325,108
326,112
327,88
328,109
329,130
330,89
331,103
332,106
333,85
334,113
335,105
336,107
337,89
338,102
339,80
340,102
341,109
342,96
343,86
344,93
345,85
346,95
347,107
348,127
349,112
350,96
351,109
352,94
353,82
354,80
355,101
356,86
357,86
358,99
359,92
360,111
361,100
362,79
363,92
364,121
365,88
366,110
367,102
368,104
369,95
370,120
371,86
372,81
373,79
374,103
375,101
376,120
377,112
378,93
379,98
380,78
381,116
382,111
383,92
384,74
385,97
386,118
387,108
388,82
389,106
390,94
391,99
392,91
393,106
394,118
395,123
396,89
397,104
