ringmember_age_blocks,freq
17,496
27,439
24,438
14,431
16,431
31,427
29,423
15,418
32,414
13,409
19,404
38,400
28,395
20,393
12,390
26,387
22,387
23,382
36,380
54,378
21,377
46,375
25,372
18,369
49,365
41,360
30,354
40,353
63,351
182,350
34,349
53,349
57,343
35,343
69,341
47,339
37,337
58,337
39,333
55,329
183,328
42,326
72,323
179,323
43,323
45,322
48,319
52,318
33,313
61,307
65,307
71,303
73,301
59,301
60,298
76,297
44,297
56,295
66,295
64,294
74,292
181,292
51,292
62,291
178,291
75,289
68,289
70,288
77,287
50,285
11,285
84,284
184,282
98,281
180,280
67,276
115,269
109,268
89,263
117,262
85,262
80,261
97,259
78,256
101,254
118,252
177,252
93,251
86,251
88,250
91,248
176,246
128,245
104,245
82,245
94,245
103,244
123,244
79,241
92,239
124,237
107,236
90,236
122,236
428,234
96,234
119,233
100,233
185,233
81,230
99,229
120,228
131,227
111,225
95,225
110,222
114,222
116,222
126,221
102,221
106,220
186,219
175,218
121,216
129,214
87,213
130,212
174,211
127,211
140,211
108,210
427,209
419,207
134,206
132,205
113,204
136,203
145,202
105,202
143,201
133,200
424,197
83,197
420,194
149,193
142,192
148,191
455,190
426,188
187,187
162,187
429,186
138,186
125,186
112,185
159,185
155,185
153,183
137,183
147,182
152,182
150,181
139,180
135,180
151,178
146,177
154,176
160,175
188,172
457,171
144,170
421,169
425,168
158,168
458,168
628,168
422,166
189,162
164,162
171,161
172,161
157,161
141,160
165,158
417,158
438,158
437,158
418,158
224,156
156,156
302,154
161,154
194,154
454,154
168,150
169,150
604,149
609,148
167,146
166,146
248,146
190,146
163,143
213,141
170,141
440,140
173,139
192,138
413,137
291,137
196,137
451,136
423,136
210,135
399,135
459,135
608,135
211,134
416,134
432,133
191,133
197,133
301,133
309,133
412,133
629,133
279,132
603,131
611,131
612,130
298,130
329,130
441,130
198,129
450,129
407,129
204,127
348,127
269,126
615,126
605,126
207,126
225,125
228,125
315,125
200,125
231,124
439,124
230,124
256,124
283,124
395,123
277,123
262,122
280,122
265,122
218,122
282,122
305,122
260,121
364,121
255,121
271,121
430,121
456,121
319,120
289,120
236,120
376,120
370,120
314,120
273,119
610,119
195,119
229,119
415,119
217,119
239,119
246,118
394,118
299,118
386,118
234,118
267,118
227,118
240,118
206,117
284,117
268,117
313,116
253,116
402,116
310,116
311,116
216,116
215,116
600,116
201,116
381,116
209,115
618,115
630,115
238,115
323,115
232,115
275,115
214,115
308,114
263,114
226,114
627,114
270,114
403,114
307,114
303,114
205,114
599,114
208,114
404,113
452,113
278,113
334,113
433,113
202,113
410,113
326,112
295,112
406,112
377,112
242,112
349,112
360,111
259,111
193,111
221,111
431,111
382,111
505,111
247,111
222,111
245,110
366,110
300,109
328,109
616,109
341,109
449,109
351,109
203,109
551,109
250,109
400,109
243,109
624,109
405,108
409,108
261,108
325,108
220,108
387,108
212,108
434,108
606,108
613,107
453,107
347,107
304,107
249,107
336,107
257,107
297,106
411,106
389,106
398,106
414,106
312,106
254,106
393,106
233,106
607,106
332,106
276,105
252,105
285,105
322,105
335,105
443,105
598,105
281,104
397,104
316,104
266,104
368,104
633,104
331,103
522,103
320,103
374,103
219,103
235,103
296,102
324,102
290,102
340,102
592,102
338,102
306,102
367,102
258,101
375,101
481,101
355,101
292,101
293,101
602,100
568,100
361,100
321,100
509,99
408,99
358,99
391,99
294,98
444,98
199,98
379,98
317,97
385,97
501,97
601,97
350,96
497,96
223,96
241,96
342,96
264,96
570,95
251,95
346,95
560,95
369,95
288,95
589,94
390,94
539,94
352,94
639,94
435,94
591,94
344,93
487,93
378,93
546,93
493,93
447,92
401,92
476,92
383,92
359,92
636,92
363,92
631,92
508,91
594,91
491,91
392,91
465,91
442,90
507,90
482,90
559,90
337,89
330,89
536,89
484,89
237,89
396,89
287,89
463,89
524,88
475,88
365,88
483,88
565,88
327,88
318,88
502,88
541,88
286,88
573,88
436,87
617,87
274,86
343,86
356,86
625,86
357,86
499,86
371,86
547,86
579,86
518,85
345,85
333,85
593,85
577,85
486,85
503,84
478,84
543,84
619,84
576,84
527,84
620,84
614,84
566,84
460,84
520,84
673,83
446,83
595,83
470,83
621,83
467,83
681,83
495,83
519,82
563,82
353,82
388,82
670,82
677,82
564,82
372,81
448,81
461,81
494,81
514,81
515,81
574,81
585,81
590,81
596,81
479,80
445,80
496,80
354,80
339,80
632,80
373,79
586,79
362,79
523,79
244,79
588,79
272,79
538,78
492,78
380,78
648,78
634,78
485,78
714,77
561,77
468,77
511,77
512,77
525,76
567,76
558,76
549,76
635,76
792,76
510,75
587,75
466,75
707,75
554,75
545,75
584,74
548,74
582,74
571,74
384,74
667,74
477,74
529,73
637,73
659,73
665,73
532,73
469,73
581,73
684,73
498,72
643,72
569,72
562,72
572,71
578,71
640,71
521,71
474,71
462,71
713,70
622,70
575,70
583,70
550,69
703,69
528,69
489,69
682,69
716,69
623,68
535,68
506,68
473,68
488,68
544,67
490,67
500,67
517,67
678,67
553,67
647,67
661,67
626,67
513,66
597,66
537,66
540,65
646,65
753,65
526,65
516,65
662,64
542,64
580,64
697,64
702,64
704,64
653,64
711,63
531,63
533,63
664,63
680,63
695,63
723,62
480,62
842,62
718,62
736,62
642,62
663,62
675,62
751,61
556,61
557,61
534,61
747,61
471,61
701,61
689,61
706,61
658,60
530,60
710,60
708,60
725,60
775,60
691,60
555,60
464,60
10,59
788,59
727,58
799,58
786,58
641,58
700,58
859,57
755,57
830,57
686,57
688,57
872,57
758,57
655,57
666,56
742,56
504,56
735,56
638,56
649,56
650,56
652,56
918,56
884,56
685,56
768,56
991,56
694,55
690,55
740,55
720,55
739,55
750,55
669,55
654,55
752,55
979,55
699,55
712,54
813,54
715,54
875,54
644,54
679,54
719,54
890,54
777,54
899,54
850,54
705,53
472,53
651,53
693,53
757,53
764,53
769,53
803,53
845,53
882,53
927,53
1032,53
1157,53
676,52
737,52
901,52
760,52
672,52
696,52
745,52
763,52
1145,51
1161,51
759,51
1029,51
746,51
883,51
928,51
766,51
671,51
967,51
919,51
815,51
1117,51
692,51
802,51
817,50
668,50
1049,50
870,50
731,50
645,50
861,50
858,50
733,50
1253,50
921,50
656,49
749,49
902,49
729,49
717,49
783,49
843,49
1343,49
940,49
683,49
977,49
793,49
776,49
840,49
851,48
787,48
849,48
1028,48
852,48
920,48
836,48
1286,48
876,48
754,48
854,47
957,47
938,47
894,47
847,47
1042,47
970,47
906,47
814,47
1067,47
832,47
821,47
885,47
1033,47
552,47
867,47
798,47
951,47
825,47
1072,47
1095,47
805,47
1061,46
660,46
779,46
800,46
975,46
809,46
741,46
973,46
1091,46
818,46
831,46
839,46
1023,46
846,46
855,46
674,46
864,46
937,46
1284,45
1101,45
820,45
974,45
1206,45
1250,45
698,45
978,45
948,45
863,45
790,45
732,45
778,45
877,45
934,45
1158,45
724,45
1131,45
835,45
726,45
1167,45
1146,44
743,44
888,44
955,44
1064,44
738,44
782,44
808,44
1084,44
806,44
1155,44
889,44
795,44
794,44
1082,44
1080,44
773,44
989,44
829,44
728,44
748,44
1060,44
1053,43
1048,43
762,43
744,43
780,43
709,43
796,43
797,43
801,43
1387,43
833,43
844,43
1283,43
860,43
730,43
1266,43
887,43
657,43
900,43
1204,43
912,43
1165,43
1143,43
945,43
947,43
1136,43
